,mainframe,framedata,datatocompare,comparison
1287,153,156,173,True
1288,153,156,173,True
1289,153,156,173,True
1290,153,156,173,True
1291,153,156,173,True
1292,153,156,173,True
1293,153,156,173,True
1294,153,156,173,True
1295,153,156,173,True
1296,153,155,173,True
1297,153,155,173,True
1298,153,155,173,True
1299,153,155,173,True
1300,153,155,173,True
1301,153,155,173,True
1302,153,155,173,True
1303,153,155,173,True
1304,152,153,172,True
1305,152,153,172,True
1306,152,153,172,True
1307,152,153,172,True
1308,152,153,172,True
1309,152,153,172,True
1310,152,153,172,True
1311,152,153,172,True
1312,152,156,172,True
1313,152,156,172,True
1314,152,156,172,True
1315,152,156,172,True
1316,152,156,172,True
1317,152,156,172,True
1318,152,156,172,True
1319,152,156,172,True
1320,153,156,173,True
1321,153,156,173,True
1322,153,156,173,True
1323,153,156,173,True
1324,153,156,173,True
1325,153,156,173,True
1326,152,156,172,True
1327,152,156,172,True
1328,151,154,171,True
1329,151,154,171,True
1330,150,154,170,True
1331,150,154,170,True
1332,150,154,170,True
1333,150,154,170,True
1334,150,154,170,True
1335,150,154,170,True
1336,150,154,170,True
1337,150,154,170,True
1338,150,154,170,True
1339,150,154,170,True
1340,150,153,170,True
1341,150,153,170,True
1342,150,153,170,True
1343,149,152,169,True
1344,150,151,170,True
1345,150,150,170,True
1346,149,149,169,True
1347,149,149,169,True
1348,149,149,169,True
1349,149,149,169,True
1350,149,149,169,True
1351,149,149,169,True
1352,149,149,169,True
1353,149,149,169,True
1354,150,150,170,True
1355,150,150,170,True
1356,150,150,170,True
1357,151,151,171,True
1358,151,151,171,True
1359,151,151,171,True
1360,152,151,172,True
1361,152,151,172,True
1362,152,151,172,True
1363,152,151,172,True
1364,152,151,172,True
1365,152,151,172,True
1366,152,151,172,True
1367,153,151,173,True
1368,153,151,173,True
1369,153,151,173,True
1370,154,151,174,True
1371,154,151,174,True
1372,154,151,174,True
1373,154,151,174,True
1374,154,151,174,True
1375,153,151,173,True
1376,151,151,171,True
1377,150,151,170,True
1378,150,151,170,True
1379,151,151,171,True
1380,151,151,171,True
1381,151,151,171,True
1382,151,151,171,True
1383,152,152,172,True
1384,151,151,171,True
1385,151,151,171,True
1386,151,151,171,True
1387,151,151,171,True
1388,151,151,171,True
1389,151,151,171,True
1390,151,151,171,True
1391,151,151,171,True
1392,151,151,171,True
1393,151,151,171,True
1394,151,151,171,True
1395,151,151,171,True
1396,151,151,171,True
1397,151,151,171,True
1398,151,151,171,True
1399,151,151,171,True
1400,151,151,171,True
1401,151,151,171,True
1402,151,151,171,True
1403,151,151,171,True
1404,151,151,171,True
1405,151,151,171,True
1406,151,151,171,True
1407,151,151,171,True
1408,150,151,170,True
1409,150,151,170,True
1410,150,151,170,True
1411,150,151,170,True
1412,150,151,170,True
1413,150,151,170,True
1414,150,151,170,True
1415,151,151,171,True
1416,151,151,171,True
1417,151,151,171,True
1418,152,151,172,True
1419,151,151,171,True
1420,151,151,171,True
1421,150,151,170,True
1422,150,151,170,True
1423,150,151,170,True
1424,150,150,170,True
1425,150,150,170,True
1426,150,150,170,True
1427,150,150,170,True
1428,150,150,170,True
1429,150,150,170,True
1430,149,150,169,True
1431,149,150,169,True
1432,148,150,168,True
1433,148,150,168,True
1434,148,150,168,True
1435,148,150,168,True
1436,149,150,169,True
1437,149,150,169,True
1438,149,150,169,True
1439,149,150,169,True
1440,149,149,169,True
1441,149,149,169,True
1442,149,149,169,True
1443,149,149,169,True
1444,149,149,169,True
1445,149,149,169,True
1446,149,149,169,True
1447,149,149,169,True
1448,149,149,169,True
1449,149,149,169,True
1450,149,149,169,True
1451,149,149,169,True
1452,149,149,169,True
1453,149,149,169,True
1454,149,149,169,True
1455,149,149,169,True
1456,150,150,170,True
1457,150,150,170,True
1458,150,150,170,True
1459,149,150,169,True
1460,149,150,169,True
1461,148,150,168,True
1462,148,150,168,True
1463,149,150,169,True
1464,149,150,169,True
1465,149,150,169,True
1466,150,150,170,True
1467,150,150,170,True
1468,150,150,170,True
1469,150,150,170,True
1470,150,150,170,True
1471,150,149,170,True
1472,150,149,170,True
1473,150,149,170,True
1474,150,148,170,True
1475,150,148,170,True
1476,150,148,170,True
1477,150,148,170,True
1478,150,148,170,True
1479,150,148,170,True
1480,150,148,170,True
1481,150,148,170,True
1482,150,148,170,True
1483,150,148,170,True
1484,150,148,170,True
1485,150,148,170,True
1486,150,148,170,True
1487,150,148,170,True
1488,149,148,169,True
1489,149,148,169,True
1490,149,148,169,True
1491,149,148,169,True
1492,149,148,169,True
1493,149,148,169,True
1494,148,148,168,True
1495,148,148,168,True
1496,148,148,168,True
1497,146,148,166,True
1498,146,148,166,True
1499,146,148,166,True
1500,146,148,166,True
1501,146,148,166,True
1502,146,148,166,True
1503,146,148,166,True
1504,146,146,166,True
1505,146,146,166,True
1506,146,146,166,True
1507,146,146,166,True
1508,146,146,166,True
1509,146,146,166,True
1510,146,146,166,True
1511,146,146,166,True
1512,146,146,166,True
1513,146,146,166,True
1514,146,146,166,True
1515,146,146,166,True
1516,146,146,166,True
1517,146,146,166,True
1518,146,146,166,True
1519,146,146,166,True
1520,146,145,166,True
1521,146,145,166,True
1522,146,145,166,True
1523,146,145,166,True
1524,146,146,166,True
1525,146,146,166,True
1526,146,146,166,True
1527,146,146,166,True
1528,145,146,165,True
1529,145,146,165,True
1530,145,146,165,True
1531,145,146,165,True
1532,145,146,165,True
1533,145,146,165,True
1534,145,146,165,True
1535,145,146,165,True
1536,145,146,165,True
1537,145,146,165,True
1538,145,146,165,True
1539,145,146,165,True
1540,145,146,165,True
1541,145,146,165,True
1542,145,146,165,True
1543,145,146,165,True
1544,145,146,165,True
1545,145,146,165,True
1546,145,146,165,True
1547,145,146,165,True
1548,145,146,165,True
1549,145,146,165,True
1550,145,146,165,True
1551,145,146,165,True
1552,145,146,165,True
1553,145,146,165,True
1554,145,146,165,True
1555,145,146,165,True
1556,145,146,165,True
1557,145,146,165,True
1558,145,146,165,True
1559,145,146,165,True
1560,145,146,165,True
1561,145,146,165,True
1562,145,146,165,True
1563,145,146,165,True
1564,145,146,165,True
1565,145,146,165,True
1566,146,146,166,True
1567,146,146,166,True
1568,146,145,166,True
1569,148,145,168,True
1570,148,145,168,True
1571,148,145,168,True
1572,146,145,166,True
1573,146,145,166,True
1574,146,145,166,True
1575,146,145,166,True
1576,145,145,165,True
1577,145,145,165,True
1578,145,145,165,True
1579,145,145,165,True
1580,146,145,166,True
1581,146,145,166,True
1582,146,145,166,True
1583,146,145,166,True
1584,145,145,165,True
1585,145,145,165,True
1586,145,145,165,True
1587,145,145,165,True
1588,145,145,165,True
1589,145,145,165,True
1590,145,145,165,True
1591,145,145,165,True
1592,144,145,164,True
1593,144,145,164,True
1594,144,145,164,True
1595,144,145,164,True
1596,144,145,164,True
1597,144,145,164,True
1598,144,145,164,True
1599,144,145,164,True
1600,143,145,163,True
1601,143,145,163,True
1602,143,145,163,True
1603,143,145,163,True
1604,143,145,163,True
1605,143,145,163,True
1606,143,145,163,True
1607,143,145,163,True
1608,143,145,163,True
1609,143,145,163,True
1610,143,145,163,True
1611,143,145,163,True
1612,143,145,163,True
1613,143,145,163,True
1614,143,145,163,True
1615,143,145,163,True
1616,144,144,164,True
1617,144,144,164,True
1618,144,144,164,True
1619,144,144,164,True
1620,144,144,164,True
1621,144,144,164,True
1622,144,144,164,True
1623,144,144,164,True
1624,144,144,164,True
1625,144,144,164,True
1626,144,144,164,True
1627,144,144,164,True
1628,145,145,165,True
1629,145,145,165,True
1630,145,145,165,True
1631,145,145,165,True
1632,144,145,164,True
1633,144,145,164,True
1634,143,145,163,True
1635,143,145,163,True
1636,143,145,163,True
1637,143,145,163,True
1638,144,145,164,True
1639,145,145,165,True
1640,145,145,165,True
1641,145,145,165,True
1642,146,145,166,True
1643,145,145,165,True
1644,145,145,165,True
1645,144,145,164,True
1646,144,145,164,True
1647,145,145,165,True
1648,146,145,166,True
1649,148,145,168,True
1650,148,145,168,True
1651,148,145,168,True
1652,148,145,168,True
1653,148,145,168,True
1654,146,145,166,True
1655,146,145,166,True
1656,145,145,165,True
1657,145,145,165,True
1658,145,145,165,True
1659,144,145,164,True
1660,145,145,165,True
1661,146,145,166,True
1662,146,145,166,True
1663,145,145,165,True
1664,145,145,165,True
1665,145,145,165,True
1666,145,145,165,True
1667,145,145,165,True
1668,145,145,165,True
1669,145,145,165,True
1670,145,145,165,True
1671,145,145,165,True
1672,145,145,165,True
1673,145,145,165,True
1674,145,145,165,True
1675,145,145,165,True
1676,145,145,165,True
1677,145,145,165,True
1678,145,145,165,True
1679,145,145,165,True
1680,145,145,165,True
1681,145,145,165,True
1682,145,145,165,True
1683,144,145,164,True
1684,143,144,163,True
1685,143,144,163,True
1686,143,144,163,True
1687,143,144,163,True
1688,142,144,162,True
1689,143,144,163,True
1690,143,144,163,True
1691,143,144,163,True
1692,143,144,163,True
1693,143,144,163,True
1694,144,144,164,True
1695,144,145,164,True
1696,145,144,165,True
1697,145,144,165,True
1698,145,144,165,True
1699,145,144,165,True
1700,143,144,163,True
1701,143,144,163,True
1702,143,144,163,True
1703,144,144,164,True
1704,144,143,164,True
1705,145,143,165,True
1706,145,143,165,True
1707,145,143,165,True
1708,144,143,164,True
1709,144,143,164,True
1710,144,143,164,True
1711,143,143,163,True
1712,142,145,162,True
1713,142,145,162,True
1714,142,145,162,True
1715,142,145,162,True
1716,143,145,163,True
1717,142,145,162,True
1718,143,145,163,True
1719,143,145,163,True
1720,144,145,164,True
1721,144,145,164,True
1722,144,145,164,True
1723,144,145,164,True
1724,144,145,164,True
1725,144,145,164,True
1726,144,145,164,True
1727,144,145,164,True
1728,143,143,163,True
1729,143,143,163,True
1730,143,143,163,True
1731,143,143,163,True
1732,143,143,163,True
1733,143,143,163,True
1734,143,143,163,True
1735,143,143,163,True
